

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
157.762  000.016  000.016: sourcing /home/nightwng120/.local/share/nvim/site/pack/packer/start/vimtex/ftdetect/tikz.vim
158.034  000.716  000.654: sourcing /usr/share/nvim/runtime/filetype.lua
158.073  000.014  000.014: sourcing /usr/share/nvim/runtime/filetype.vim
158.358  000.081  000.081: sourcing /usr/share/nvim/runtime/syntax/synload.vim
158.484  000.345  000.264: sourcing /usr/share/nvim/runtime/syntax/syntax.vim
159.602  000.152  000.152: sourcing /usr/share/nvim/runtime/plugin/gzip.vim
159.633  000.010  000.010: sourcing /usr/share/nvim/runtime/plugin/health.vim
160.125  000.157  000.157: sourcing /usr/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
160.231  000.581  000.423: sourcing /usr/share/nvim/runtime/plugin/matchit.vim
160.380  000.130  000.130: sourcing /usr/share/nvim/runtime/plugin/matchparen.vim
160.417  000.016  000.016: sourcing /usr/share/nvim/runtime/plugin/netrwPlugin.vim
160.570  000.009  000.009: sourcing /home/nightwng120/.local/share/nvim/rplugin.vim
160.578  000.143  000.133: sourcing /usr/share/nvim/runtime/plugin/rplugin.vim
160.664  000.070  000.070: sourcing /usr/share/nvim/runtime/plugin/shada.vim
160.715  000.021  000.021: sourcing /usr/share/nvim/runtime/plugin/spellfile.vim
160.837  000.099  000.099: sourcing /usr/share/nvim/runtime/plugin/tarPlugin.vim
160.938  000.075  000.075: sourcing /usr/share/nvim/runtime/plugin/tohtml.vim
160.978  000.016  000.016: sourcing /usr/share/nvim/runtime/plugin/tutor.vim
161.157  000.139  000.139: sourcing /usr/share/nvim/runtime/plugin/zipPlugin.vim
161.799  000.545  000.545: sourcing /home/nightwng120/.config/nvim/plugin/packer_compiled.lua
162.110  000.087  000.087: sourcing /usr/share/nvim/runtime/plugin/man.lua
162.128  001.881: loading rtp plugins
162.550  000.028  000.028: sourcing /home/nightwng120/.local/share/nvim/site/pack/packer/start/LuaSnip/plugin/luasnip.vim
166.421  003.586  003.586: require('vim.filetype')
166.767  004.128  000.542: sourcing /home/nightwng120/.local/share/nvim/site/pack/packer/start/LuaSnip/plugin/luasnip.lua
168.421  001.418  001.418: sourcing /home/nightwng120/.local/share/nvim/site/pack/packer/start/emmet-vim/plugin/emmet.vim
170.383  001.661  001.661: sourcing /home/nightwng120/.local/share/nvim/site/pack/packer/start/neoclip/plugin/neoclip.vim
170.761  000.112  000.112: require('cmp.utils.highlight')
171.128  000.575  000.463: sourcing /home/nightwng120/.local/share/nvim/site/pack/packer/start/nvim-cmp/plugin/cmp.lua
171.255  000.034  000.034: sourcing /home/nightwng120/.local/share/nvim/site/pack/packer/start/nvim-jdtls/plugin/nvim_jdtls.vim
171.613  000.189  000.189: sourcing /home/nightwng120/.local/share/nvim/site/pack/packer/start/nvim-lspconfig/plugin/lspconfig.lua
172.063  000.135  000.135: require('nvim-treesitter.statusline')
172.295  000.229  000.229: require('nvim-treesitter.query_predicates')
172.298  000.489  000.126: require('nvim-treesitter')
172.568  000.800  000.311: sourcing /home/nightwng120/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.lua
172.714  000.044  000.044: sourcing /home/nightwng120/.local/share/nvim/site/pack/packer/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
172.897  000.031  000.031: sourcing /home/nightwng120/.local/share/nvim/site/pack/packer/start/plenary.nvim/plugin/plenary.vim
173.436  000.384  000.384: sourcing /home/nightwng120/.local/share/nvim/site/pack/packer/start/telescope.nvim/plugin/telescope.lua
173.664  000.112  000.112: sourcing /home/nightwng120/.local/share/nvim/site/pack/packer/start/vim-obsession/plugin/obsession.vim
173.859  000.064  000.064: sourcing /home/nightwng120/.local/share/nvim/site/pack/packer/start/vim-tmux-navigator/plugin/tmux_navigator.vim
174.016  000.034  000.034: sourcing /home/nightwng120/.local/share/nvim/site/pack/packer/start/vimtex/plugin/vimtex.vim
174.209  002.580: loading packages
174.921  000.063  000.063: require('cmp_buffer.timer')
174.927  000.294  000.230: require('cmp_buffer.buffer')
174.930  000.426  000.132: require('cmp_buffer.source')
174.933  000.470  000.044: require('cmp_buffer')
174.957  000.515  000.046: sourcing /home/nightwng120/.local/share/nvim/site/pack/packer/start/cmp-buffer/after/plugin/cmp_buffer.lua
175.070  000.032  000.032: sourcing /home/nightwng120/.local/share/nvim/site/pack/packer/start/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
175.392  000.227  000.227: require('cmp_path')
175.412  000.264  000.037: sourcing /home/nightwng120/.local/share/nvim/site/pack/packer/start/cmp-path/after/plugin/cmp_path.lua
175.707  000.183  000.183: require('cmp_luasnip')
175.740  000.247  000.064: sourcing /home/nightwng120/.local/share/nvim/site/pack/packer/start/cmp_luasnip/after/plugin/cmp_luasnip.lua
175.759  000.491: loading after plugins
175.771  000.012: inits 3
179.776  004.005: reading ShaDa
180.521  000.171  000.171: require('luasnip.util.directed_graph')
180.579  000.054  000.054: require('luasnip.session.enqueueable_operations')
180.586  000.547  000.322: require('luasnip.loaders.from_lua')
182.210  000.070  000.070: require('luasnip.util.events')
182.231  000.436  000.366: require('luasnip.nodes.node')
182.565  000.329  000.329: require('luasnip.nodes.insertNode')
182.686  000.115  000.115: require('luasnip.nodes.textNode')
182.868  000.178  000.178: require('luasnip.util.mark')
183.018  000.144  000.144: require('luasnip.util.pattern_tokenizer')
183.134  000.111  000.111: require('luasnip.util.dict')
184.254  000.984  000.984: require('luasnip.util.jsregexp')
184.264  001.125  000.141: require('luasnip.nodes.util.trig_engines')
184.424  003.424  000.986: require('luasnip.nodes.snippet')
184.432  003.495  000.071: require('luasnip.nodes.duplicate')
184.437  003.567  000.072: require('luasnip.loaders.snippet_cache')
184.454  003.863  000.296: require('luasnip.loaders.from_snipmate')
185.543  000.556  000.556: require('luasnip.util.jsonc')
185.561  001.100  000.544: require('luasnip.loaders.from_vscode')
185.587  000.301: opening buffers
185.792  000.205: BufEnter autocommands
185.797  000.004: editing files in windows
186.029  000.200  000.200: require('mason-core.terminator')
208.335  000.129  000.129: require('mason-core.functional.type')
